mnemonic,opcode,mask,bytes
ACALL addr11,0x11,0x1F,2
"ADD A,#data",0x24,0xFF,2
"ADD A,direct",0x25,0xFF,2
"ADD A,@Ri",0x26,0xFE,1
"ADD A,Rn",0x28,0xF8,1
"ADDC A,#data",0x34,0xFF,2
"ADDC A,direct",0x35,0xFF,2
"ADDC A,@Ri",0x36,0xFE,1
"ADDC A,Rn",0x38,0xF8,1
AJMP addr11,0x01,0x1F,2
"ANL direct,A",0x52,0xFF,2
"ANL direct,#data",0x53,0xFF,3
"ANL A,#data",0x54,0xFF,2
"ANL A,direct",0x55,0xFF,2
"ANL A,@Ri",0x56,0xFE,1
"ANL A,Rn",0x58,0xF8,1
"ANL C,bit",0x82,0xFF,2
"ANL C,/bit",0xB0,0xFF,2
"CJNE A,#data,rel",0xB4,0xFF,3
"CJNE A,direct,rel",0xB5,0xFF,3
"CJNE @Ri,#data,rel",0xB6,0xFE,3
"CJNE Rn,#data,rel",0xB8,0xF8,3
CLR bit,0xC2,0xFF,2
CLR C,0xC3,0xFF,1
CLR A,0xE4,0xFF,1
CPL A,0xF4,0xFF,1
CPL C,0xB3,0xFF,1
CPL bit,0xB2,0xFF,2
DA A,0xD4,0xFF,1
DEC A,0x14,0xFF,1
DEC direct,0x15,0xFF,2
DEC @Ri,0x16,0xFE,1
DEC Rn,0x18,0xF8,1
DIV AB,0x84,0xFF,1
"DJNZ direct,rel",0xD5,0xFF,3
"DJNZ Rn,rel",0xD8,0xF8,2
INC A,0x04,0xFF,1
INC direct,0x05,0xFF,2
INC @Ri,0x06,0xFE,1
INC Rn,0x08,0xF8,1
INC DPTR,0xA3,0xFF,1
"JB bit,rel",0x20,0xFF,3
"JBC bit,rel",0x10,0xFF,3
JC rel,0x40,0xFF,2
JMP @A+DPTR,0x73,0xFF,1
"JNB bit,rel",0x30,0xFF,3
JNC rel,0x50,0xFF,2
JNZ rel,0x70,0xFF,2
JZ rel,0x60,0xFF,2
LCALL addr16,0x12,0xFF,3
LJMP addr16,0x02,0xFF,3
"MOV @Ri,#data",0x76,0xFE,2
"MOV @Ri,A",0xF6,0xFE,1
"MOV @Ri,direct",0xA6,0xFE,2
"MOV A,#data",0x74,0xFF,2
"MOV A,@Ri",0xE6,0xFE,1
"MOV A,Rn",0xE8,0xF8,1
"MOV A,direct",0xE5,0xFF,2
"MOV C,bit",0xA2,0xFF,2
"MOV DPTR,#data16",0x90,0xFF,3
"MOV Rn,#data",0x78,0xF8,2
"MOV Rn,A",0xF8,0xF8,1
"MOV Rn,direct",0xA8,0xF8,2
"MOV bit,C",0x92,0xFF,2
"MOV direct,#data",0x75,0xFF,3
"MOV direct,@Ri",0x86,0xFE,2
"MOV direct,Rn",0x88,0xF8,2
"MOV direct,A",0xF5,0xFF,2
"MOV direct,direct",0x85,0xFF,3
"MOVC A,@A+DPTR",0x93,0xFF,1
"MOVC A,@A+PC",0x83,0xFF,1
"MOVX @DPTR,A",0xF0,0xFF,1
"MOVX @Ri,A",0xF2,0xFE,1
"MOVX A,@DPTR",0xE0,0xFF,1
"MOVX A,@Ri",0xE2,0xFE,1
MUL AB,0xA4,0xFF,1
NOP,0x00,0xFF,1
"ORL direct,A",0x42,0xFF,2
"ORL direct,#data",0x43,0xFF,3
"ORL A,#data",0x44,0xFF,2
"ORL A,direct",0x45,0xFF,2
"ORL A,@Ri",0x46,0xFE,1
"ORL A,Rn",0x48,0xF8,1
"ORL C,bit",0x72,0xFF,2
"ORL C,/bit",0xA0,0xFF,2
POP direct,0xD0,0xFF,2
PUSH direct,0xC0,0xFF,2
RET,0x22,0xFF,1
RETI,0x32,0xFF,1
RL A,0x23,0xFF,1
RLC A,0x33,0xFF,1
RR A,0x03,0xFF,1
RRC A,0x13,0xFF,1
SETB C,0xD3,0xFF,1
SETB bit,0xD2,0xFF,2
SJMP rel,0x80,0xFF,2
"SUBB A,#data",0x94,0xFF,2
"SUBB A,direct",0x95,0xFF,2
"SUBB A,@Ri",0x96,0xFE,1
"SUBB A,Rn",0x98,0xF8,1
SWAP A,0xC4,0xFF,1
reserved,0xA5,0xFF,1
"XCH A,@Ri",0xC6,0xFE,1
"XCH A,Rn",0xC8,0xF8,1
"XCH A,direct",0xC5,0xFF,2
"XCHD A,@Ri",0xD6,0xFE,1
"XRL direct,A",0x62,0xFF,2
"XRL direct,#data",0x63,0xFF,3
"XRL A,#data",0x64,0xFF,2
"XRL A,direct",0x65,0xFF,2
"XRL A,@Ri",0x66,0xFE,1
"XRL A,Rn",0x68,0xF8,1
